Date,GDA1,MTY1,TOL1,TLA1,MTY2,GDA2
02/11/2018,6031.435,4233.858889,3256.854444,5043.534444,0,0
09/11/2018,3840.148889,4622.998611,3805.249167,5423.769167,0,0
16/11/2018,4008.908611,2045.355833,4260.747778,1599.479444,0,0
23/11/2018,2486.213889,2462.085556,2479.972222,1899.963611,0,0
30/11/2018,3492.498333,1835.673611,1681.720833,1465.611944,0,0
07/12/2018,3483.9775,1798.147222,1939.163056,1425.006944,0,0
04/01/2019,3024.399722,1456.013889,2202.056111,1423.4575,0,0
11/01/2019,3133.566944,1541.146944,2329.3325,1644.040556,0,0
18/01/2018,3108.899167,1512.841111,2309.105833,1661.315556,0,0
25/01/2019,3051.301944,1485.817222,2295.158611,1705.287222,0,0
01/02/2019,2939.509167,1533.410278,2209.825556,1620.471667,0,0
08/02/2019,3128.049444,1506.593333,2343.544722,1769.130556,0,0
15/02/2019,3154.606667,1533.706389,2455.174167,1901.073611,0,0
01/03/2019,3116.68,1477.246111,2469.139444,1980.658889,0,0
08/03/2019,3121.86,1470.05,2489.04,2024.71,0,0
15/03/2019,3197.4,1527.4,2577.3,2145.9,0,0
22/03/2019,3309.7,1529.8,2774.77,2342.68,0,0
29/03/2019,3309.7,1529.8,2644.87,2342.68,0,0
05/04/2019,3149.595278,1478.635556,2629.648333,2320.703056,0,0
12/04/2019,3265.22,1521.11,2687.62,2384.51,0,0
19/04/2019,2711.53,1576.17,2257.15,2246.47,0,0
26/04/2019,3050.51,1479.35,2548.67,2323.02,1096.4,3.71
03/05/2019,3161.43,1557.93,2652.68,2408.22,1108.08,4.48
10/05/2019,3194.72,1636.13,2751.66,2422.65,1083.67,5.17
17/05/2019,3072.600556,1589.581111,2597.378889,1648.353889,1041.198333,1193.412778
24/05/2019,3062.500278,1634.216389,2560.823056,1741.578889,1010.621667,1232.869167
31/05/2019,3119.298611,1669.821667,2588.757778,1862.626389,1004.194444,1224.987222
07/06/2019,3092.299444,1709.349167,2552.358611,1947.090833,976.3272222,1272.551111
14/06/2019,3060.329722,1688.309167,2502.645556,2025.998056,942.685,1273.746111
21/06/2019,3034.7025,1719.321944,2457.765833,2099.789167,912.6763889,1284.276389
28/06/2019,3007.039722,1731.0575,2431.408056,2182.552222,889.3736111,1303.0425
05/07/2019,2903.738889,1748.552778,2369.824722,2206.462778,848.5322222,1338.293611
12/07/2019,2900.582222,1770.9775,2335.45,2290.863333,845.525,1345.266111
