DATE,TOLHS1.provgsmprod.ok,TOLHS1.provgsmprod.nok,GDAHS1.provgsmprod.ok,GDAHS1.provgsmprod.nok
26/04/2021,2940,10,2968,9
27/04/2021,2623,11,2666,8
28/04/2021,2578,11,2559,8
29/04/2021,2612,10,2637,9
30/04/2021,3551,4,3523,3
01/05/2021,3352,3,3364,1
02/05/2021,3438,3,3418,4
03/05/2021,3111,4,3099,20
04/05/2021,4084,23,4170,6
05/05/2021,2342,10,2285,8
06/05/2021,2417,15,2406,8
07/05/2021,2955,7,2990,3
08/05/2021,3821,3,3785,3
09/05/2021,4452,3,4460,4
10/05/2021,4026,4,4040,1
11/05/2021,2489,8,2454,6
12/05/2021,2208,6,2267,6
13/05/2021,2189,9,2210,14
14/05/2021,2747,4,2762,10
15/05/2021,3334,3,3329,4
16/05/2021,3650,2,3650,11
17/05/2021,2936,1,2972,6
18/05/2021,2591,3,2603,12
19/05/2021,2268,12,2234,12
20/05/2021,2191,8,2178,3
21/05/2021,2573,4,2584,1
22/05/2021,3063,5,3051,1
23/05/2021,3474,9,3478,11
24/05/2021,2920,18,2924,25
25/05/2021,2528,5,2497,11
26/05/2021,2349,17,2357,24
27/05/2021,2373,1,3495,7
28/05/2021,2769,4,4095,3
29/05/2021,3614,,5342,1
30/05/2021,3605,,5393,
